Date,Open,High,Low,Close,Adj Close,Volume
2000-10-01,64.925003,67.150002,52.125000,62.369999,45.969776,27914000
2000-11-01,62.314999,67.495003,58.900002,64.500000,47.539703,24398400
2000-12-01,63.875000,68.400002,59.000000,62.105000,45.774460,27564800
2001-01-01,61.125000,63.930000,48.825001,56.465000,41.745941,48612000
2001-02-01,55.555000,56.750000,45.799999,50.224998,37.132549,32294800
2001-03-01,50.349998,52.875000,38.759998,46.700001,34.526447,60965800
2001-04-01,46.250000,54.500000,43.950001,51.889999,38.521347,44581600
2001-05-01,51.764999,57.865002,50.759998,54.970001,40.807835,26446500
2001-06-01,54.639999,55.250000,47.639999,49.490002,36.739662,24981600
2001-07-01,49.000000,54.500000,47.750000,53.770000,40.000473,27802000
2001-08-01,53.570000,54.980000,47.500000,48.560001,36.124664,22740800
2001-09-01,47.299999,48.830002,36.250000,45.500000,33.848282,24655000
2001-10-01,45.490002,47.889999,41.840000,45.540001,33.957115,31682200
2001-11-01,45.290001,54.450001,44.700001,52.340000,39.027561,23251500
2001-12-01,51.799999,54.779999,50.720001,52.250000,38.960468,21914500
2002-01-01,51.759998,56.700001,50.900002,53.779999,40.186234,28626800
2002-02-01,53.549999,53.650002,48.119999,50.700001,37.884766,28324600
2002-03-01,50.900002,58.360001,50.270000,55.380001,41.381817,29767900
2002-04-01,55.049999,55.680000,50.400002,51.110001,38.267204,26760300
2002-05-01,50.650002,51.169998,45.549999,46.459999,34.785614,39324200
2002-06-01,46.660000,46.889999,41.250000,44.700001,33.467869,32039700
2002-07-01,44.459999,44.950001,34.849998,42.500000,31.910267,42201700
2002-08-01,42.400002,45.189999,38.540001,43.320000,32.525925,29382600
2002-09-01,42.500000,42.500000,37.130001,38.639999,29.012053,29675800
2002-10-01,39.000000,42.860001,32.110001,41.369999,31.154707,48164000
2002-11-01,41.380001,47.470001,40.669998,45.000000,33.888359,32888000
2002-12-01,45.599998,45.980000,38.000000,39.000000,29.369925,29146400
2003-01-01,39.400002,41.799999,38.509998,39.590000,29.914431,56708600
2003-02-01,39.560001,40.080002,35.180000,36.849998,27.844072,34821600
2003-03-01,37.099998,38.820000,30.980000,31.629999,23.899813,61122100
2003-04-01,31.799999,35.439999,30.370001,35.029999,26.578041,43370800
2003-05-01,35.029999,38.770000,34.160000,38.310001,29.066648,41744000
2003-06-01,38.849998,41.709999,38.349998,39.400002,29.893658,35418000
2003-07-01,39.400002,46.400002,38.650002,45.900002,34.949905,43338800
2003-08-01,46.000000,46.000000,43.099998,43.950001,33.465118,25617900
2003-09-01,43.959999,48.509998,43.430000,45.000000,34.264633,36135700
2003-10-01,45.099998,53.630001,45.080002,52.360001,39.993504,43643400
2003-11-01,52.430000,53.480000,48.750000,50.959999,38.924156,26880000
2003-12-01,51.250000,52.459999,49.430000,52.080002,39.779625,19975600
2004-01-01,52.049999,56.900002,51.430000,53.849998,41.250671,31901700
2004-02-01,53.840000,54.799999,52.090000,53.730000,41.158760,17321600
2004-03-01,53.790001,54.650002,49.000000,52.130001,39.933094,32074600
2004-04-01,52.250000,54.389999,47.500000,48.799999,37.488205,35870700
2004-05-01,48.900002,50.599998,45.389999,48.419998,37.196274,31913100
2004-06-01,48.410000,50.459999,47.200001,49.040001,37.672573,24555500
